b03,b04,b05,KODE_KAB
laki-laki,51.0,SMA dan sederajat,Gunung Kidul
laki-laki,49.0,SD dan sederajat,Gunung Kidul
laki-laki,58.0,SMA dan sederajat,Sleman
perempuan,46.0,S1 dan sederajat,Sleman
laki-laki,50.0,S1 dan sederajat,Sleman
laki-laki,57.0,SMA dan sederajat,Sleman
laki-laki,63.0,S1 dan sederajat,Sleman
laki-laki,43.0,S1 dan sederajat,Bantul
laki-laki,50.0,SMA dan sederajat,Gunung Kidul
laki-laki,47.0,S1 dan sederajat,Gunung Kidul
laki-laki,45.0,SD dan sederajat,Gunung Kidul
laki-laki,63.0,S1 dan sederajat,Bantul
laki-laki,45.0,SMA dan sederajat, Kota Yogyakarta
laki-laki,40.0,SMP dan sederajat,Gunung Kidul
laki-laki,47.0,SMA dan sederajat,Bantul
laki-laki,52.0,SMA dan sederajat,Sleman
laki-laki,,SMA dan sederajat,Sleman
laki-laki,49.0,Diploma dan sederajat,Sleman
laki-laki,63.0,S1 dan sederajat,Sleman
laki-laki,33.0,S1 dan sederajat,Sleman
laki-laki,,SMA dan sederajat,Sleman
laki-laki,47.0,S2 dan sederajat,Sleman
laki-laki,57.0,S1 dan sederajat,Sleman
laki-laki,67.0,S1 dan sederajat,Sleman
laki-laki,57.0,SD dan sederajat,Bantul
laki-laki,77.0,S1 dan sederajat,Sleman
laki-laki,53.0,SMA dan sederajat,Bantul
laki-laki,62.0,SMA dan sederajat,Bantul
laki-laki,70.0,S1 dan sederajat,Bantul
laki-laki,63.0,S1 dan sederajat,Bantul
laki-laki,39.0,SMA dan sederajat,Bantul
laki-laki,56.0,Tidak Sekolah,Gunung Kidul
laki-laki,40.0,S1 dan sederajat,Gunung Kidul
laki-laki,48.0,SMP dan sederajat,Gunung Kidul
laki-laki,55.0,SMA dan sederajat,Sleman
laki-laki,60.0,S1 dan sederajat,Sleman
laki-laki,60.0,S1 dan sederajat,Bantul
laki-laki,38.0,SMP dan sederajat,Gunung Kidul
laki-laki,57.0,SMP dan sederajat,Gunung Kidul
laki-laki,49.0,S3 dan sederajat,Sleman
laki-laki,41.0,SMA dan sederajat,Bantul
laki-laki,60.0,S2 dan sederajat,Gunung Kidul
laki-laki,40.0,SMA dan sederajat,Gunung Kidul
laki-laki,53.0,SMA dan sederajat,Gunung Kidul
laki-laki,57.0,S1 dan sederajat,Bantul
laki-laki,33.0,S1 dan sederajat,Bantul
laki-laki,53.0,SMA dan sederajat,Gunung Kidul
laki-laki,55.0,SD dan sederajat,Gunung Kidul
laki-laki,50.0,S1 dan sederajat,Gunung Kidul
laki-laki,51.0,S3 dan sederajat,Sleman
laki-laki,53.0,S2 dan sederajat,Sleman
laki-laki,41.0,S2 dan sederajat,Gunung Kidul
laki-laki,59.0,S1 dan sederajat,Gunung Kidul
laki-laki,39.0,Diploma dan sederajat,Gunung Kidul
laki-laki,67.0,S1 dan sederajat,Gunung Kidul
laki-laki,43.0,SMA dan sederajat,Bantul
laki-laki,38.0,SMP dan sederajat,Kulon Progo
laki-laki,55.0,SMA dan sederajat,Gunung Kidul
laki-laki,63.0,S1 dan sederajat,Sleman
laki-laki,56.0,S1 dan sederajat,Gunung Kidul
laki-laki,60.0,S1 dan sederajat,Gunung Kidul
laki-laki,39.0,S1 dan sederajat,Gunung Kidul
laki-laki,67.0,S1 dan sederajat,Sleman
laki-laki,45.0,SMA dan sederajat,Sleman
laki-laki,53.0,SD dan sederajat,Gunung Kidul
laki-laki,36.0,SMA dan sederajat,Gunung Kidul
laki-laki,55.0,SMA dan sederajat,Gunung Kidul
laki-laki,75.0,Diploma dan sederajat,Sleman
laki-laki,48.0,S1 dan sederajat, Kota Yogyakarta
laki-laki,45.0,S2 dan sederajat,Sleman
laki-laki,49.0,SMA dan sederajat,Gunung Kidul
laki-laki,51.0,S1 dan sederajat,Sleman
laki-laki,70.0,SMA dan sederajat,Sleman
laki-laki,40.0,SMP dan sederajat,Sleman
laki-laki,66.0,S1 dan sederajat, Kota Yogyakarta
laki-laki,50.0,SMA dan sederajat,Sleman
perempuan,60.0,SMP dan sederajat,Sleman
laki-laki,57.0,S1 dan sederajat,Sleman
laki-laki,55.0,S1 dan sederajat,Bantul
laki-laki,52.0,SMA dan sederajat,Bantul
laki-laki,43.0,S1 dan sederajat,Kulon Progo
laki-laki,42.0,S1 dan sederajat,Kulon Progo
perempuan,42.0,SMP dan sederajat,Gunung Kidul
laki-laki,57.0,SD dan sederajat,Gunung Kidul
laki-laki,51.0,SD dan sederajat,Gunung Kidul
laki-laki,42.0,S1 dan sederajat,Bantul
laki-laki,69.0,SMA dan sederajat,Sleman
laki-laki,58.0,SMA dan sederajat,Bantul
laki-laki,63.0,SD dan sederajat,Gunung Kidul
laki-laki,42.0,S2 dan sederajat,Bantul
laki-laki,43.0,S1 dan sederajat,Bantul
laki-laki,63.0,SMA dan sederajat,Gunung Kidul
laki-laki,73.0,S1 dan sederajat,Sleman
laki-laki,60.0,SMA dan sederajat,Sleman
perempuan,61.0,SMA dan sederajat,Kulon Progo
laki-laki,59.0,Diploma dan sederajat,Kulon Progo
laki-laki,68.0,SMP dan sederajat,Kulon Progo
laki-laki,71.0,SD dan sederajat,Gunung Kidul
laki-laki,55.0,SMA dan sederajat,Sleman
laki-laki,61.0,SMP dan sederajat,Sleman
laki-laki,62.0,SD dan sederajat,Sleman
laki-laki,50.0,S2 dan sederajat,Sleman
laki-laki,,S2 dan sederajat,Bantul
laki-laki,71.0,Diploma dan sederajat,Sleman
laki-laki,50.0,SMA dan sederajat,Bantul
laki-laki,62.0,S1 dan sederajat,Bantul
laki-laki,67.0,SMP dan sederajat,Sleman
laki-laki,71.0,SMA dan sederajat,Sleman
laki-laki,57.0,SMA dan sederajat,Sleman
laki-laki,53.0,S1 dan sederajat,Sleman
laki-laki,66.0,SMA dan sederajat,Sleman
laki-laki,57.0,SMA dan sederajat,Sleman
perempuan,40.0,SMP dan sederajat,Sleman
laki-laki,70.0,S1 dan sederajat,Sleman
laki-laki,33.0,S2 dan sederajat,Sleman
laki-laki,38.0,S2 dan sederajat,Sleman
laki-laki,47.0,S1 dan sederajat,Sleman
laki-laki,73.0,SMA dan sederajat,Sleman
laki-laki,42.0,SMA dan sederajat,Gunung Kidul
laki-laki,47.0,S1 dan sederajat,Gunung Kidul
laki-laki,40.0,S2 dan sederajat,Sleman
laki-laki,56.0,SMA dan sederajat,Gunung Kidul
laki-laki,56.0,SMA dan sederajat,Sleman
laki-laki,60.0,S2 dan sederajat,Gunung Kidul
laki-laki,57.0,SMA dan sederajat,Sleman
laki-laki,,S1 dan sederajat,Sleman
laki-laki,62.0,SMA dan sederajat,Sleman
laki-laki,58.0,SMA dan sederajat, Kota Yogyakarta
laki-laki,56.0,SMA dan sederajat,Bantul
laki-laki,54.0,SMA dan sederajat,Kulon Progo
laki-laki,66.0,S2 dan sederajat,Sleman
laki-laki,56.0,SMA dan sederajat,Bantul
laki-laki,40.0,SMA dan sederajat,Sleman
laki-laki,63.0,Tidak Sekolah,Gunung Kidul
laki-laki,59.0,S1 dan sederajat,Sleman
laki-laki,59.0,SD dan sederajat,Gunung Kidul
laki-laki,45.0,SMP dan sederajat,Gunung Kidul
laki-laki,63.0,SMA dan sederajat,Bantul
perempuan,41.0,SD dan sederajat,Gunung Kidul
laki-laki,43.0,SMP dan sederajat,Sleman
laki-laki,56.0,SD dan sederajat,Gunung Kidul
laki-laki,62.0,S1 dan sederajat,Bantul
laki-laki,64.0,Diploma dan sederajat,Sleman
perempuan,40.0,SMA dan sederajat,Gunung Kidul
laki-laki,55.0,SMA dan sederajat,Sleman
laki-laki,62.0,S2 dan sederajat,Gunung Kidul
laki-laki,50.0,S1 dan sederajat,Sleman
laki-laki,52.0,SMA dan sederajat,Sleman
laki-laki,60.0,SMA dan sederajat,Bantul
laki-laki,63.0,S1 dan sederajat,Sleman
laki-laki,55.0,SMA dan sederajat,Gunung Kidul
laki-laki,41.0,SMA dan sederajat,Sleman
laki-laki,45.0,SMA dan sederajat,Bantul
laki-laki,61.0,S2 dan sederajat,Gunung Kidul
laki-laki,55.0,S1 dan sederajat,Bantul
laki-laki,54.0,S1 dan sederajat,Sleman
laki-laki,53.0,S1 dan sederajat,Sleman
laki-laki,56.0,SMA dan sederajat,Bantul
laki-laki,76.0,S1 dan sederajat,Bantul
laki-laki,51.0,S1 dan sederajat,Bantul
laki-laki,72.0,S1 dan sederajat,Bantul
laki-laki,54.0,SMP dan sederajat,Gunung Kidul
laki-laki,67.0,Diploma dan sederajat,Bantul
laki-laki,38.0,S1 dan sederajat,Gunung Kidul
perempuan,45.0,S1 dan sederajat,Gunung Kidul
laki-laki,52.0,SMA dan sederajat,Bantul
laki-laki,45.0,S1 dan sederajat,Sleman
laki-laki,51.0,SMA dan sederajat,Kulon Progo
laki-laki,42.0,SMA dan sederajat,Kulon Progo
laki-laki,55.0,SMP dan sederajat,Gunung Kidul
laki-laki,42.0,S1 dan sederajat,Kulon Progo
laki-laki,56.0,S1 dan sederajat,Gunung Kidul
perempuan,51.0,SMA dan sederajat,Gunung Kidul
laki-laki,47.0,SMA dan sederajat,Gunung Kidul
laki-laki,76.0,SMA dan sederajat,Bantul
laki-laki,57.0,S2 dan sederajat,Bantul
laki-laki,68.0,SMA dan sederajat,Sleman
laki-laki,70.0,S1 dan sederajat,Sleman
laki-laki,75.0,S1 dan sederajat,Bantul
laki-laki,59.0,SMA dan sederajat,Sleman
laki-laki,41.0,SMA dan sederajat,Bantul
laki-laki,61.0,SD dan sederajat,Bantul
laki-laki,65.0,S1 dan sederajat,Sleman
laki-laki,70.0,SD dan sederajat,Bantul
laki-laki,55.0,S1 dan sederajat,Sleman
laki-laki,53.0,SMA dan sederajat,Gunung Kidul
laki-laki,67.0,Diploma dan sederajat, Kota Yogyakarta
laki-laki,58.0,S1 dan sederajat,Sleman
laki-laki,55.0,SMA dan sederajat,Bantul
laki-laki,66.0,SMA dan sederajat,Bantul
laki-laki,64.0,SMA dan sederajat,Bantul
laki-laki,53.0,S1 dan sederajat,Bantul
laki-laki,55.0,S2 dan sederajat,Bantul
laki-laki,57.0,S1 dan sederajat, Kota Yogyakarta
laki-laki,62.0,SMA dan sederajat,Gunung Kidul
laki-laki,27.0,S2 dan sederajat, Kota Yogyakarta
laki-laki,75.0,SMP dan sederajat,Gunung Kidul
laki-laki,49.0,SMA dan sederajat,Sleman
laki-laki,39.0,S2 dan sederajat, Kota Yogyakarta
laki-laki,69.0,S1 dan sederajat,Sleman
laki-laki,57.0,SMA dan sederajat,Sleman
perempuan,52.0,SMA dan sederajat,Sleman
laki-laki,56.0,SMA dan sederajat,Kulon Progo
laki-laki,60.0,Diploma dan sederajat,Sleman
laki-laki,52.0,SMA dan sederajat,Sleman
laki-laki,77.0,Diploma dan sederajat,Bantul
laki-laki,70.0,SMA dan sederajat,Sleman
perempuan,50.0,S1 dan sederajat, Kota Yogyakarta
laki-laki,70.0,S1 dan sederajat,Sleman
laki-laki,30.0,S1 dan sederajat,Kulon Progo
laki-laki,50.0,S1 dan sederajat,Sleman
laki-laki,43.0,S1 dan sederajat,Sleman
laki-laki,50.0,S1 dan sederajat,Sleman
laki-laki,58.0,S1 dan sederajat,Sleman
laki-laki,69.0,S1 dan sederajat,Sleman
perempuan,61.0,SMA dan sederajat,Sleman
laki-laki,57.0,SMA dan sederajat,Sleman
laki-laki,55.0,SMA dan sederajat,Sleman
laki-laki,58.0,Diploma dan sederajat,Sleman
laki-laki,42.0,Diploma dan sederajat,Sleman
perempuan,60.0,SMP dan sederajat,Bantul
laki-laki,36.0,S1 dan sederajat,Sleman
laki-laki,60.0,SD dan sederajat,Gunung Kidul
laki-laki,39.0,SMA dan sederajat,Gunung Kidul
laki-laki,57.0,SMP dan sederajat,Kulon Progo
laki-laki,54.0,SD dan sederajat,Gunung Kidul
laki-laki,45.0,S1 dan sederajat, Kota Yogyakarta
laki-laki,52.0,SMA dan sederajat,Bantul
laki-laki,46.0,S1 dan sederajat,Kulon Progo
laki-laki,67.0,SD dan sederajat,Gunung Kidul
laki-laki,63.0,S1 dan sederajat,Sleman
laki-laki,57.0,SMA dan sederajat,Gunung Kidul
laki-laki,28.0,SMA dan sederajat,Kulon Progo
laki-laki,52.0,SMP dan sederajat,Gunung Kidul
laki-laki,54.0,SMA dan sederajat,Sleman
laki-laki,70.0,SMA dan sederajat,Sleman
laki-laki,42.0,SMA dan sederajat,Gunung Kidul
laki-laki,50.0,SMA dan sederajat, Kota Yogyakarta
laki-laki,63.0,S1 dan sederajat,Bantul
laki-laki,50.0,S1 dan sederajat,Bantul
laki-laki,62.0,SD dan sederajat,Sleman
laki-laki,72.0,S2 dan sederajat,Sleman
laki-laki,51.0,SD dan sederajat,Gunung Kidul
laki-laki,29.0,S1 dan sederajat,Gunung Kidul
laki-laki,57.0,SD dan sederajat,Gunung Kidul
laki-laki,30.0,SMA dan sederajat,Gunung Kidul
laki-laki,58.0,SMA dan sederajat,Gunung Kidul
laki-laki,65.0,SMP dan sederajat,Gunung Kidul
laki-laki,50.0,SMA dan sederajat,Gunung Kidul
laki-laki,45.0,SMA dan sederajat,Gunung Kidul
laki-laki,36.0,S1 dan sederajat,Gunung Kidul
laki-laki,65.0,SD dan sederajat,Gunung Kidul
laki-laki,57.0,S1 dan sederajat,Sleman
laki-laki,44.0,S2 dan sederajat,Sleman
laki-laki,60.0,S1 dan sederajat,Gunung Kidul
laki-laki,45.0,S1 dan sederajat,Sleman
laki-laki,56.0,SMA dan sederajat,Bantul
laki-laki,64.0,S1 dan sederajat,Bantul
laki-laki,40.0,Diploma dan sederajat,Sleman
laki-laki,41.0,Diploma dan sederajat,Sleman
laki-laki,64.0,S1 dan sederajat,Bantul
laki-laki,69.0,S1 dan sederajat,Sleman
laki-laki,46.0,SMA dan sederajat,Sleman
laki-laki,61.0,SMA dan sederajat,Sleman
laki-laki,45.0,S1 dan sederajat,Bantul
laki-laki,71.0,SMA dan sederajat,Bantul
laki-laki,41.0,S1 dan sederajat,Bantul
laki-laki,55.0,SMA dan sederajat,Sleman
laki-laki,43.0,SMA dan sederajat,Sleman
perempuan,43.0,S1 dan sederajat,Sleman
laki-laki,47.0,S2 dan sederajat,Sleman
laki-laki,58.0,SMA dan sederajat,Sleman
laki-laki,35.0,SMA dan sederajat,Gunung Kidul
laki-laki,25.0,S1 dan sederajat,Sleman
laki-laki,22.0,S1 dan sederajat,Sleman
laki-laki,60.0,SD dan sederajat,Gunung Kidul
laki-laki,56.0,SMA dan sederajat,Gunung Kidul
perempuan,43.0,SMA dan sederajat,Bantul
perempuan,46.0,SMP dan sederajat,Bantul
laki-laki,35.0,Diploma dan sederajat, Kota Yogyakarta
laki-laki,68.0,SD dan sederajat,Sleman
laki-laki,41.0,S1 dan sederajat,Sleman
laki-laki,50.0,SMA dan sederajat,Kulon Progo
laki-laki,66.0,SMP dan sederajat,Sleman
laki-laki,36.0,S1 dan sederajat,Sleman
laki-laki,53.0,SMA dan sederajat,Kulon Progo
laki-laki,49.0,SMP dan sederajat,Gunung Kidul
laki-laki,56.0,SD dan sederajat,Bantul
laki-laki,,SMP dan sederajat,Sleman
laki-laki,80.0,SD dan sederajat,Sleman
laki-laki,29.0,SMA dan sederajat,Sleman
laki-laki,53.0,S1 dan sederajat,Sleman
laki-laki,53.0,S1 dan sederajat,Sleman
perempuan,42.0,S1 dan sederajat,Sleman
laki-laki,21.0,SMA dan sederajat,Sleman
laki-laki,56.0,S1 dan sederajat,Bantul
laki-laki,69.0,S1 dan sederajat,Sleman
laki-laki,72.0,SD dan sederajat,Gunung Kidul
laki-laki,29.0,S1 dan sederajat, Kota Yogyakarta
laki-laki,59.0,SMA dan sederajat,Kulon Progo
laki-laki,53.0,SMA dan sederajat,Kulon Progo
laki-laki,53.0,SMA dan sederajat,Sleman
laki-laki,52.0,S1 dan sederajat,Sleman
laki-laki,63.0,S2 dan sederajat,Bantul
laki-laki,68.0,S1 dan sederajat,Sleman
laki-laki,58.0,S1 dan sederajat,Bantul
laki-laki,85.0,S1 dan sederajat,Sleman
laki-laki,39.0,,Kulon Progo
laki-laki,48.0,SMA dan sederajat,Kulon Progo
laki-laki,59.0,S1 dan sederajat,Kulon Progo
laki-laki,41.0,SMP dan sederajat,Sleman
laki-laki,43.0,SMA dan sederajat,Gunung Kidul
perempuan,23.0,SMA dan sederajat,Sleman
laki-laki,40.0,S1 dan sederajat,Sleman
laki-laki,59.0,SMA dan sederajat,Sleman
laki-laki,35.0,S3 dan sederajat,Bantul
laki-laki,65.0,SMP dan sederajat,Gunung Kidul
laki-laki,48.0,S2 dan sederajat,Gunung Kidul
laki-laki,60.0,SMA dan sederajat,Kulon Progo
laki-laki,50.0,S1 dan sederajat,Gunung Kidul
laki-laki,64.0,SMA dan sederajat,Sleman
laki-laki,49.0,SMP dan sederajat,Gunung Kidul
laki-laki,66.0,SD dan sederajat,Gunung Kidul
laki-laki,55.0,SD dan sederajat,Sleman
laki-laki,73.0,S1 dan sederajat,Gunung Kidul
laki-laki,71.0,S1 dan sederajat,Bantul
laki-laki,64.0,SMA dan sederajat,Sleman
laki-laki,59.0,S1 dan sederajat,Gunung Kidul
laki-laki,56.0,S1 dan sederajat, Kota Yogyakarta
laki-laki,66.0,Diploma dan sederajat,Sleman
laki-laki,54.0,SMA dan sederajat,Sleman
laki-laki,46.0,SMA dan sederajat,Bantul
laki-laki,65.0,Diploma dan sederajat,Sleman
laki-laki,55.0,SMA dan sederajat,Sleman
laki-laki,52.0,S1 dan sederajat,Gunung Kidul
laki-laki,45.0,S2 dan sederajat,Gunung Kidul
laki-laki,53.0,Diploma dan sederajat,Sleman
laki-laki,43.0,Diploma dan sederajat,Bantul
laki-laki,52.0,SMP dan sederajat,Gunung Kidul
laki-laki,24.0,S1 dan sederajat,Sleman
laki-laki,54.0,S1 dan sederajat,Bantul
laki-laki,46.0,SMA dan sederajat,Sleman
laki-laki,64.0,SMP dan sederajat,Gunung Kidul
laki-laki,40.0,SMA dan sederajat,Gunung Kidul
laki-laki,55.0,SD dan sederajat,Bantul
laki-laki,58.0,SMA dan sederajat,Bantul
laki-laki,64.0,SMA dan sederajat,Sleman
laki-laki,56.0,SMA dan sederajat,Gunung Kidul
laki-laki,56.0,S1 dan sederajat,Sleman
laki-laki,61.0,SD dan sederajat,Bantul
laki-laki,37.0,SMA dan sederajat, Kota Yogyakarta
laki-laki,60.0,SD dan sederajat,Gunung Kidul
laki-laki,51.0,S1 dan sederajat,Bantul
laki-laki,58.0,SMA dan sederajat,Gunung Kidul
laki-laki,65.0,SMP dan sederajat,Bantul
laki-laki,61.0,SMA dan sederajat,Gunung Kidul
laki-laki,80.0,SD dan sederajat,Gunung Kidul
perempuan,43.0,S1 dan sederajat,Gunung Kidul
laki-laki,37.0,S1 dan sederajat,Sleman
laki-laki,57.0,S1 dan sederajat,Sleman
laki-laki,45.0,SMA dan sederajat,Bantul
laki-laki,64.0,S1 dan sederajat,Bantul
laki-laki,38.0,SMA dan sederajat,Gunung Kidul
laki-laki,52.0,S1 dan sederajat,Sleman
laki-laki,37.0,S1 dan sederajat,Bantul
laki-laki,72.0,SMA dan sederajat,Sleman
laki-laki,48.0,S1 dan sederajat,Gunung Kidul
laki-laki,56.0,S1 dan sederajat,Sleman
laki-laki,40.0,SMP dan sederajat,Gunung Kidul
laki-laki,52.0,SMA dan sederajat,Gunung Kidul
perempuan,51.0,Diploma dan sederajat,Sleman
laki-laki,52.0,SMP dan sederajat,Bantul
laki-laki,59.0,SMA dan sederajat,Kulon Progo
laki-laki,49.0,SMA dan sederajat,Sleman
laki-laki,36.0,SMA dan sederajat,Gunung Kidul
laki-laki,62.0,SMA dan sederajat,Bantul
perempuan,64.0,S1 dan sederajat,Gunung Kidul
laki-laki,39.0,SMA dan sederajat,Sleman
laki-laki,52.0,SMA dan sederajat,Gunung Kidul
laki-laki,56.0,SMA dan sederajat,Gunung Kidul
perempuan,44.0,SMA dan sederajat,Gunung Kidul
laki-laki,47.0,SMA dan sederajat,Sleman
laki-laki,40.0,S1 dan sederajat,Bantul
laki-laki,47.0,SD dan sederajat,Bantul
laki-laki,51.0,SMA dan sederajat,Kulon Progo
laki-laki,61.0,SMA dan sederajat,Sleman
laki-laki,65.0,SD dan sederajat,Sleman
laki-laki,46.0,SMA dan sederajat,Sleman
laki-laki,66.0,SMP dan sederajat,Bantul
laki-laki,51.0,SMP dan sederajat,Bantul
perempuan,48.0,Diploma dan sederajat,Sleman
laki-laki,50.0,S2 dan sederajat,Sleman
laki-laki,56.0,SMA dan sederajat,Bantul
laki-laki,56.0,S1 dan sederajat,Sleman
laki-laki,22.0,SMA dan sederajat,Bantul
laki-laki,39.0,S1 dan sederajat,Sleman
laki-laki,76.0,SD dan sederajat,Gunung Kidul
laki-laki,62.0,SMA dan sederajat,Sleman
laki-laki,51.0,S3 dan sederajat,Sleman
perempuan,29.0,S1 dan sederajat,Bantul
laki-laki,45.0,S2 dan sederajat,Sleman
laki-laki,72.0,SMA dan sederajat,Gunung Kidul
laki-laki,76.0,SMA dan sederajat,Kulon Progo
laki-laki,55.0,S2 dan sederajat,Gunung Kidul
laki-laki,52.0,S1 dan sederajat,Bantul
laki-laki,46.0,SMA dan sederajat,Bantul
laki-laki,57.0,SMA dan sederajat,Sleman
laki-laki,39.0,SMA dan sederajat,Bantul
laki-laki,66.0,S1 dan sederajat,Sleman
laki-laki,48.0,Diploma dan sederajat,Sleman
laki-laki,58.0,SMA dan sederajat,Sleman
laki-laki,57.0,S2 dan sederajat,Sleman
laki-laki,40.0,SMA dan sederajat,Sleman
laki-laki,47.0,S2 dan sederajat, Kota Yogyakarta
laki-laki,27.0,S1 dan sederajat,Sleman
laki-laki,55.0,S1 dan sederajat,Gunung Kidul
laki-laki,69.0,SMA dan sederajat,Sleman
laki-laki,,S1 dan sederajat,Sleman
laki-laki,50.0,SMA dan sederajat,Kulon Progo
laki-laki,52.0,SMA dan sederajat,Bantul
laki-laki,56.0,Tidak Sekolah,Gunung Kidul
laki-laki,35.0,SMP dan sederajat,Sleman
laki-laki,44.0,SMA dan sederajat,Sleman
laki-laki,52.0,SMA dan sederajat,Sleman
laki-laki,45.0,SMA dan sederajat,Gunung Kidul
laki-laki,67.0,S1 dan sederajat,Sleman
laki-laki,50.0,SMA dan sederajat,Sleman
laki-laki,56.0,SMP dan sederajat, Kota Yogyakarta
laki-laki,36.0,SMP dan sederajat,Gunung Kidul
laki-laki,43.0,SMA dan sederajat,Sleman
laki-laki,59.0,SMA dan sederajat, Kota Yogyakarta
laki-laki,57.0,SMA dan sederajat,Sleman
laki-laki,60.0,Tidak Sekolah,Bantul
laki-laki,53.0,SMP dan sederajat,Bantul
laki-laki,40.0,S1 dan sederajat,Gunung Kidul
laki-laki,54.0,SMA dan sederajat,Sleman
laki-laki,65.0,S1 dan sederajat,Sleman
laki-laki,53.0,S1 dan sederajat,Sleman
laki-laki,53.0,SMA dan sederajat,Gunung Kidul
laki-laki,55.0,SMA dan sederajat,Bantul
laki-laki,62.0,S2 dan sederajat,Bantul
laki-laki,54.0,SMA dan sederajat,Sleman
laki-laki,47.0,SMA dan sederajat,Gunung Kidul
laki-laki,31.0,SMA dan sederajat,Gunung Kidul
laki-laki,70.0,SD dan sederajat,Kulon Progo
laki-laki,58.0,SMA dan sederajat,Bantul
laki-laki,56.0,SMA dan sederajat,Kulon Progo
laki-laki,66.0,S1 dan sederajat,Kulon Progo
laki-laki,49.0,S1 dan sederajat,Kulon Progo
laki-laki,31.0,SMA dan sederajat,Gunung Kidul
laki-laki,50.0,SMA dan sederajat,Sleman
laki-laki,59.0,SMP dan sederajat,Bantul
laki-laki,55.0,S1 dan sederajat,Bantul
laki-laki,53.0,S1 dan sederajat,Gunung Kidul
laki-laki,56.0,SMP dan sederajat,Sleman
laki-laki,40.0,S1 dan sederajat,Sleman
laki-laki,33.0,SMP dan sederajat,Bantul
laki-laki,40.0,SMA dan sederajat,Bantul
laki-laki,77.0,SMA dan sederajat,Kulon Progo
laki-laki,47.0,SMA dan sederajat,Kulon Progo
laki-laki,47.0,SMA dan sederajat,Bantul
laki-laki,70.0,S1 dan sederajat,Sleman
laki-laki,65.0,SMA dan sederajat,Sleman
laki-laki,62.0,S1 dan sederajat,Sleman
laki-laki,60.0,SMA dan sederajat,Sleman
laki-laki,50.0,SD dan sederajat,Gunung Kidul
laki-laki,59.0,S1 dan sederajat,Gunung Kidul
laki-laki,62.0,SMA dan sederajat,Gunung Kidul
perempuan,49.0,S1 dan sederajat,Bantul
laki-laki,55.0,SMA dan sederajat,Gunung Kidul
laki-laki,47.0,SMA dan sederajat,Gunung Kidul
laki-laki,47.0,SD dan sederajat,Gunung Kidul
laki-laki,29.0,S1 dan sederajat,Sleman
